time,wind_speed_10m_max
09/05/2024,15.4
09/06/2024,11.3
09/07/2024,35.3
09/08/2024,25.3
09/09/2024,29.8
09/10/2024,29.1
09/11/2024,20
09/12/2024,26.2
09/13/2024,28.5
09/14/2024,17.6
09/15/2024,27.7
09/16/2024,27.7
09/17/2024,35.6
09/18/2024,16.5
09/19/2024,28.4
09/20/2024,23.9
09/21/2024,27.4
09/22/2024,28.8
09/23/2024,16.9
09/24/2024,30.2
09/25/2024,30.3
09/26/2024,35.1
09/27/2024,23.1
09/28/2024,16.3
09/29/2024,15.4
09/30/2024,30.3
10/01/2024,19.6
10/02/2024,30.7
10/03/2024,31
10/04/2024,17.8
